Price,Size,Bed,Bath
7000000,1320.0,3,3
7000000,1320.0,3,3
7000000,1320.0,3,3
7000000,1320.0,3,3
2000000,600.0,2,1
2000000,600.0,2,1
2000000,600.0,2,1
8000000,1159.0,3,3
7000000,1320.0,3,3
2000000,600.0,2,1
5600000,1180.0,3,2
4000000,1200.0,3,3
5200000,1205.0,3,2
6720000,1150.0,3,3
4800000,900.0,2,2
5600000,1270.0,3,2
5750000,1150.0,3,2
2000000,600.0,2,1
7352000,1260.0,3,3
7220000,1235.0,3,3
7352000,1260.0,3,3
9800000,1800.0,3,4
6264000,1055.0,3,3
7000000,1320.0,3,3
7000000,1320.0,3,3
7352000,1260.0,3,3
7500000,1288.0,3,3
3300000,650.0,2,2
6000000,1300.0,4,4
2500000,800.0,2,2
11000000,1553.0,3,3
5500000,1000.0,2,2
5500000,1050.0,3,2
6300000,1400.0,3,3
4000000,1150.0,3,3
7500000,1412.0,3,3
6000000,1600.0,3,3
3150000,900.0,3,3
3150000,900.0,3,3
3150000,900.0,3,3
3150000,900.0,3,3
5500000,1220.0,3,3
5800000,1250.0,3,3
4000000,650.0,2,2
6000000,1500.0,3,3
5625000,1125.0,3,2
5125000,1025.0,3,2
9275000,1350.0,3,3
6000000,1250.0,3,2
3150000,900.0,3,3
6000000,1035.0,3,2
4225000,650.0,2,2
8918000,1858.0,3,3
9000000,1200.0,2,2
9080000,1320.0,3,3
9080000,1320.0,3,3
8500000,1200.0,3,3
8500000,1200.0,3,3
8500000,1200.0,3,3
8500000,1200.0,3,3
5500000,1100.0,3,2
5000000,975.0,3,2
7500000,1400.0,3,3
2100000,700.0,2,2
2100000,700.0,2,2
6500000,1435.0,3,3
4200000,1050.0,3,3
3000000,750.0,2,2
5500000,1300.0,3,3
5000000,1250.0,3,3
3400000,800.0,2,2
5600000,1050.0,3,3
6500000,1660.0,3,3
6500000,1660.0,3,3
4500000,1200.0,3,3
4400000,1200.0,3,3
3000000,700.0,2,2
3500000,900.0,2,2
10000000,1900.0,4,3
8200000,1400.0,3,3
8200000,1400.0,3,3
8200000,1400.0,3,3
8400000,1400.0,3,3
4300000,1200.0,3,3
4000000,1000.0,2,2
6500000,1350.0,3,3
8200000,1400.0,3,3
5500000,1150.0,3,3
4300000,900.0,2,2
5000000,975.0,3,2
3900000,930.0,3,3
3600000,900.0,2,2
2600000,656.0,2,2
5841000,1298.0,3,3
4000000,800.0,2,2
12000000,1653.0,3,3
7000000,1450.0,3,3
4500000,1150.0,3,2
5000000,1150.0,3,3
5000000,1150.0,3,3
6000000,1300.0,4,3
18000000,2400.0,5,4
4500000,975.0,3,3
2500000,850.0,2,2
2400000,850.0,2,2
3800000,850.0,2,2
6125000,1250.0,3,3
2500000,656.0,2,2
2600000,656.0,2,2
