Price,Size,Beds,Bath,Location
7000000,1350.0,2,2,Agargaon
7000000,1100.0,3,2,Agargaon
7800000,1356.0,3,3,Agargaon
6600000,1050.0,2,2,Agargaon
4704000,980.0,2,2,Agargaon
5280000,1100.0,3,2,Agargaon
5280000,1100.0,3,2,Agargaon
5280000,1100.0,3,2,Agargaon
4704000,980.0,2,2,Agargaon
4704000,980.0,2,2,Agargaon
4704000,980.0,2,2,Agargaon
4704000,980.0,2,2,Agargaon
4704000,980.0,2,2,Agargaon
5184000,1080.0,2,2,Agargaon
4704000,980.0,2,2,Agargaon
3000000,650.0,2,2,Agargaon
6500000,1258.0,3,3,Agargaon
6424000,1168.0,3,3,Agargaon
6231500,1133.0,3,3,Agargaon
6500000,1250.0,3,3,Agargaon
7800000,1384.0,3,3,Agargaon
4800000,1200.0,3,3,Agargaon
7800000,1384.0,3,3,Agargaon
8100000,1500.0,3,3,Agargaon
4300000,1000.0,3,2,Agargaon
7300000,1250.0,3,3,Agargaon
8000000,1425.0,3,3,Agargaon
8000000,1425.0,3,3,Agargaon
8000000,1425.0,3,3,Agargaon
8000000,1425.0,3,3,Agargaon
8000000,1425.0,3,3,Agargaon
3700000,765.0,2,2,Agargaon
7000000,1075.0,3,2,Agargaon
6500000,1295.0,3,2,Agargaon
6500000,1500.0,3,3,Agargaon
7315000,1330.0,3,2,Agargaon
6300000,1260.0,3,2,Agargaon
7000000,1150.0,3,3,Agargaon
7500000,1420.0,3,3,Agargaon
6200000,1250.0,3,3,Agargaon
6700000,1220.0,3,2,Agargaon
6000000,1050.0,3,3,Agargaon
8000000,1550.0,3,3,Agargaon
8000000,1550.0,3,3,Agargaon
8000000,1550.0,3,3,Agargaon
5500000,1150.0,3,3,Agargaon
3000000,750.0,2,2,Agargaon
6325000,1150.0,3,2,Agargaon
7200000,1275.0,3,3,Agargaon
7000000,1347.0,3,3,Badda
13000000,1480.0,3,3,Badda
6500000,1000.0,3,2,Badda
13200000,1602.0,3,3,Badda
13200000,1587.0,3,3,Badda
13200000,1587.0,3,3,Badda
7670000,1180.0,3,2,Badda
14500000,1802.0,3,3,Badda
6000000,1180.0,3,3,Badda
6500000,1158.0,3,3,Badda
7000000,1331.0,3,3,Badda
4500000,850.0,2,2,Badda
7670000,1180.0,3,2,Badda
5500000,1050.0,3,2,Badda
13200000,1587.0,3,3,Badda
5000000,1210.0,3,3,Badda
3350000,832.0,2,2,Badda
4600000,900.0,2,2,Badda
3600000,730.0,2,2,Badda
3600000,775.0,2,2,Badda
7670000,1180.0,3,2,Badda
4200000,850.0,2,2,Badda
4200000,850.0,2,2,Badda
13200000,1720.0,3,3,Badda
12600000,1635.0,3,3,Badda
12500000,1630.0,3,4,Badda
12100000,1570.0,3,3,Badda
12400000,1610.0,3,3,Badda
5850000,1070.0,3,3,Badda
6800000,1260.0,3,3,Badda
6050000,1110.0,3,3,Badda
5850000,1070.0,3,3,Badda
6800000,1260.0,3,3,Badda
6050000,1110.0,3,3,Badda
5850000,1070.0,3,3,Badda
6800000,1260.0,3,3,Badda
5850000,1070.0,3,3,Badda
6800000,1260.0,3,3,Badda
5850000,1070.0,3,3,Badda
12400000,1610.0,3,3,Badda
12300000,1600.0,3,3,Badda
12700000,1650.0,3,3,Badda
13899999,1825.0,3,3,Badda
6050000,1110.0,3,3,Badda
6800000,1260.0,3,3,Badda
6050000,1110.0,3,3,Badda
3600000,775.0,2,2,Badda
7280000,900.0,2,2,Badda
7638000,1175.0,3,3,Badda
6800000,1260.0,3,3,Badda
12300000,1600.0,3,3,Badda
7670000,1180.0,3,2,Badda
6190000,1016.0,2,2,Badda
8200000,1356.0,3,3,Badda
11200000,1700.0,3,3,Badda
11200000,1700.0,3,3,Badda
11000000,1610.0,3,3,Badda
12000000,1610.0,3,3,Badda
8200000,1356.0,3,3,Badda
11200000,1700.0,3,3,Badda
13200000,1602.0,3,3,Badda
6500000,1260.0,3,3,Badda
5000000,1150.0,3,2,Badda
12000000,1610.0,3,3,Badda
5000000,1005.0,2,2,Badda
5000000,1005.0,2,2,Badda
8300000,1270.0,3,3,Badda
8400000,1300.0,3,3,Badda
5300000,1050.0,3,2,Badda
6000000,1210.0,3,3,Badda
7200000,1207.0,3,3,Badda
4500000,800.0,2,2,Badda
4500000,800.0,3,2,Badda
10500000,1587.0,3,3,Badda
6160000,1200.0,3,3,Badda
5500000,1100.0,3,2,Badda
13500000,1870.0,3,4,Badda
7350000,1300.0,3,4,Badda
5300000,1050.0,3,2,Badda
5300000,1050.0,3,2,Badda
9000000,1650.0,6,4,Badda
7800000,1300.0,3,3,Badda
10200000,1555.0,3,3,Badda
7800000,1402.0,3,4,Badda
11500000,1500.0,3,3,Badda
5300000,1050.0,3,2,Badda
6600000,1175.0,3,3,Badda
12800000,1495.0,3,3,Badda
10500000,1208.0,3,3,Badda
11200000,1305.0,3,3,Badda
11800000,1375.0,3,3,Badda
12300000,1443.0,3,3,Badda
10500000,1207.0,3,3,Badda
8750000,1530.0,3,3,Badda
